id,area_id,target_id,distance
0,0,4,1
1,0,5,1
2,0,7,1
3,0,15,1
4,0,17,1
5,0,19,1
6,0,192,2
7,0,193,2
8,0,195,2
9,0,202,2
10,0,1,2
11,0,6,2
12,0,8,2
13,0,9,2
14,0,16,2
15,0,23,2
16,0,2,2
17,0,18,2
18,0,26,2
19,0,20,2
20,0,4,3
21,0,5,3
22,0,7,3
23,0,15,3
24,0,17,3
25,0,19,3
26,1,2,1
27,1,3,1
28,1,6,1
29,1,7,1
30,1,15,1
31,1,125,1
32,1,194,2
33,1,195,2
34,1,196,2
35,1,116,2
36,1,117,2
37,1,176,2
38,1,177,2
39,1,188,2
40,1,1352,2
41,1,16,2
42,1,0,2
43,1,8,2
44,1,9,2
45,1,19,2
46,1,23,2
47,1,4,2
48,1,111,2
49,1,115,2
50,1,126,2
51,1,127,2
52,1,2,3
53,1,3,3
54,1,6,3
55,1,7,3
56,1,15,3
57,1,125,3
58,2,1,1
59,2,3,1
60,2,15,1
61,2,194,1
62,2,195,1
63,2,196,1
64,2,6,2
65,2,7,2
66,2,125,2
67,2,116,2
68,2,117,2
69,2,176,2
70,2,177,2
71,2,188,2
72,2,1352,2
73,2,0,2
74,2,4,2
75,2,193,2
76,2,182,2
77,2,197,2
78,2,1,3
79,2,3,3
80,2,15,3
81,2,194,3
82,2,195,3
83,2,196,3
84,3,1,1
85,3,2,1
86,3,116,1
87,3,117,1
88,3,125,1
89,3,176,1
90,3,177,1
91,3,188,1
92,3,196,1
93,3,1352,1
94,3,6,2
95,3,7,2
96,3,15,2
97,3,194,2
98,3,195,2
99,3,115,2
100,3,114,2
101,3,118,2
102,3,133,2
103,3,136,2
104,3,140,2
105,3,142,2
106,3,16,2
107,3,111,2
108,3,126,2
109,3,127,2
110,3,181,2
111,3,182,2
112,3,191,2
113,3,197,2
114,3,178,2
115,3,189,2
116,3,1353,2
117,3,193,2
118,3,141,2
119,3,1589,2
120,3,3501,2
121,3,1,3
122,3,2,3
123,3,116,3
124,3,117,3
125,3,125,3
126,3,176,3
127,3,177,3
128,3,188,3
129,3,196,3
130,3,1352,3
131,4,0,1
132,4,5,1
133,4,15,1
134,4,192,1
135,4,193,1
136,4,195,1
137,4,7,2
138,4,17,2
139,4,19,2
140,4,202,2
141,4,1,2
142,4,2,2
143,4,194,2
144,4,196,2
145,4,197,2
146,4,204,2
147,4,205,2
148,4,0,3
149,4,5,3
150,4,15,3
151,4,192,3
152,4,193,3
153,4,195,3
154,5,0,1
155,5,4,1
156,5,17,1
157,5,192,1
158,5,202,1
159,5,7,2
160,5,15,2
161,5,19,2
162,5,193,2
163,5,195,2
164,5,18,2
165,5,26,2
166,5,203,2
167,5,204,2
168,5,0,3
169,5,4,3
170,5,17,3
171,5,192,3
172,5,202,3
173,6,1,1
174,6,7,1
175,6,16,1
176,6,125,1
177,6,2,2
178,6,3,2
179,6,15,2
180,6,0,2
181,6,8,2
182,6,9,2
183,6,19,2
184,6,23,2
185,6,126,2
186,6,111,2
187,6,115,2
188,6,116,2
189,6,127,2
190,6,1,3
191,6,7,3
192,6,16,3
193,6,125,3
194,7,0,1
195,7,1,1
196,7,6,1
197,7,8,1
198,7,9,1
199,7,15,1
200,7,16,1
201,7,19,1
202,7,23,1
203,7,4,2
204,7,5,2
205,7,17,2
206,7,2,2
207,7,3,2
208,7,125,2
209,7,10,2
210,7,11,2
211,7,22,2
212,7,27,2
213,7,126,2
214,7,195,2
215,7,18,2
216,7,20,2
217,7,0,3
218,7,1,3
219,7,6,3
220,7,8,3
221,7,9,3
222,7,15,3
223,7,16,3
224,7,19,3
225,7,23,3
226,8,7,1
227,8,9,1
228,8,10,1
229,8,11,1
230,8,22,1
231,8,23,1
232,8,27,1
233,8,0,2
234,8,1,2
235,8,6,2
236,8,15,2
237,8,16,2
238,8,19,2
239,8,126,2
240,8,12,2
241,8,13,2
242,8,14,2
243,8,25,2
244,8,20,2
245,8,21,2
246,8,24,2
247,8,28,2
248,8,30,2
249,8,31,2
250,8,7,3
251,8,9,3
252,8,10,3
253,8,11,3
254,8,22,3
255,8,23,3
256,8,27,3
257,9,7,1
258,9,8,1
259,9,11,1
260,9,16,1
261,9,126,1
262,9,0,2
263,9,1,2
264,9,6,2
265,9,15,2
266,9,19,2
267,9,23,2
268,9,10,2
269,9,22,2
270,9,27,2
271,9,12,2
272,9,125,2
273,9,112,2
274,9,113,2
275,9,127,2
276,9,7,3
277,9,8,3
278,9,11,3
279,9,16,3
280,9,126,3
281,10,8,1
282,10,11,1
283,10,12,1
284,10,13,1
285,10,14,1
286,10,22,1
287,10,25,1
288,10,27,1
289,10,7,2
290,10,9,2
291,10,23,2
292,10,126,2
293,10,113,2
294,10,62,2
295,10,84,2
296,10,20,2
297,10,21,2
298,10,24,2
299,10,28,2
300,10,30,2
301,10,31,2
302,10,8,3
303,10,11,3
304,10,12,3
305,10,13,3
306,10,14,3
307,10,22,3
308,10,25,3
309,10,27,3
310,11,8,1
311,11,9,1
312,11,10,1
313,11,12,1
314,11,126,1
315,11,7,2
316,11,22,2
317,11,23,2
318,11,27,2
319,11,16,2
320,11,13,2
321,11,14,2
322,11,25,2
323,11,113,2
324,11,112,2
325,11,125,2
326,11,127,2
327,11,8,3
328,11,9,3
329,11,10,3
330,11,12,3
331,11,126,3
332,12,10,1
333,12,11,1
334,12,13,1
335,12,113,1
336,12,126,1
337,12,8,2
338,12,14,2
339,12,22,2
340,12,25,2
341,12,27,2
342,12,9,2
343,12,84,2
344,12,112,2
345,12,16,2
346,12,125,2
347,12,127,2
348,12,10,3
349,12,11,3
350,12,13,3
351,12,113,3
352,12,126,3
353,13,10,1
354,13,12,1
355,13,14,1
356,13,113,1
357,13,8,2
358,13,11,2
359,13,22,2
360,13,25,2
361,13,27,2
362,13,126,2
363,13,62,2
364,13,84,2
365,13,112,2
366,13,10,3
367,13,12,3
368,13,14,3
369,13,113,3
370,14,10,1
371,14,13,1
372,14,25,1
373,14,62,1
374,14,84,1
375,14,113,1
376,14,8,2
377,14,11,2
378,14,12,2
379,14,22,2
380,14,27,2
381,14,24,2
382,14,48,2
383,14,49,2
384,14,51,2
385,14,61,2
386,14,85,2
387,14,86,2
388,14,93,2
389,14,112,2
390,14,126,2
391,14,10,3
392,14,13,3
393,14,25,3
394,14,62,3
395,14,84,3
396,14,113,3
397,15,0,1
398,15,1,1
399,15,2,1
400,15,4,1
401,15,7,1
402,15,195,1
403,15,5,2
404,15,17,2
405,15,19,2
406,15,3,2
407,15,6,2
408,15,125,2
409,15,194,2
410,15,196,2
411,15,192,2
412,15,193,2
413,15,8,2
414,15,9,2
415,15,16,2
416,15,23,2
417,15,0,3
418,15,1,3
419,15,2,3
420,15,4,3
421,15,7,3
422,15,195,3
423,16,6,1
424,16,7,1
425,16,9,1
426,16,125,1
427,16,126,1
428,16,1,2
429,16,0,2
430,16,8,2
431,16,15,2
432,16,19,2
433,16,23,2
434,16,11,2
435,16,3,2
436,16,111,2
437,16,115,2
438,16,116,2
439,16,127,2
440,16,12,2
441,16,112,2
442,16,113,2
443,16,6,3
444,16,7,3
445,16,9,3
446,16,125,3
447,16,126,3
448,17,0,1
449,17,5,1
450,17,18,1
451,17,19,1
452,17,26,1
453,17,202,1
454,17,4,2
455,17,7,2
456,17,15,2
457,17,192,2
458,17,20,2
459,17,32,2
460,17,34,2
461,17,44,2
462,17,23,2
463,17,203,2
464,17,220,2
465,17,193,2
466,17,204,2
467,17,0,3
468,17,5,3
469,17,18,3
470,17,19,3
471,17,26,3
472,17,202,3
473,18,17,1
474,18,19,1
475,18,20,1
476,18,26,1
477,18,32,1
478,18,34,1
479,18,44,1
480,18,0,2
481,18,5,2
482,18,202,2
483,18,7,2
484,18,23,2
485,18,21,2
486,18,22,2
487,18,33,2
488,18,203,2
489,18,220,2
490,18,45,2
491,18,46,2
492,18,36,2
493,18,17,3
494,18,19,3
495,18,20,3
496,18,26,3
497,18,32,3
498,18,34,3
499,18,44,3
500,19,0,1
501,19,7,1
502,19,17,1
503,19,18,1
504,19,20,1
505,19,23,1
506,19,4,2
507,19,5,2
508,19,15,2
509,19,1,2
510,19,6,2
511,19,8,2
512,19,9,2
513,19,16,2
514,19,26,2
515,19,202,2
516,19,32,2
517,19,34,2
518,19,44,2
519,19,21,2
520,19,22,2
521,19,33,2
522,19,0,3
523,19,7,3
524,19,17,3
525,19,18,3
526,19,20,3
527,19,23,3
528,20,18,1
529,20,19,1
530,20,21,1
531,20,22,1
532,20,23,1
533,20,32,1
534,20,33,1
535,20,17,2
536,20,26,2
537,20,34,2
538,20,44,2
539,20,0,2
540,20,7,2
541,20,27,2
542,20,28,2
543,20,41,2
544,20,47,2
545,20,8,2
546,20,10,2
547,20,40,2
548,20,42,2
549,20,46,2
550,20,18,3
551,20,19,3
552,20,21,3
553,20,22,3
554,20,23,3
555,20,32,3
556,20,33,3
557,21,20,1
558,21,22,1
559,21,27,1
560,21,28,1
561,21,33,1
562,21,41,1
563,21,47,1
564,21,18,2
565,21,19,2
566,21,23,2
567,21,32,2
568,21,8,2
569,21,10,2
570,21,24,2
571,21,25,2
572,21,30,2
573,21,31,2
574,21,29,2
575,21,34,2
576,21,40,2
577,21,42,2
578,21,46,2
579,21,43,2
580,21,64,2
581,21,343,2
582,21,357,2
583,21,20,3
584,21,22,3
585,21,27,3
586,21,28,3
587,21,33,3
588,21,41,3
589,21,47,3
590,22,8,1
591,22,10,1
592,22,20,1
593,22,21,1
594,22,23,1
595,22,27,1
596,22,7,2
597,22,9,2
598,22,11,2
599,22,12,2
600,22,13,2
601,22,14,2
602,22,25,2
603,22,18,2
604,22,19,2
605,22,32,2
606,22,33,2
607,22,28,2
608,22,41,2
609,22,47,2
610,22,24,2
611,22,30,2
612,22,31,2
613,22,8,3
614,22,10,3
615,22,20,3
616,22,21,3
617,22,23,3
618,22,27,3
619,23,7,1
620,23,8,1
621,23,19,1
622,23,20,1
623,23,22,1
624,23,0,2
625,23,1,2
626,23,6,2
627,23,9,2
628,23,15,2
629,23,16,2
630,23,10,2
631,23,11,2
632,23,27,2
633,23,17,2
634,23,18,2
635,23,21,2
636,23,32,2
637,23,33,2
638,23,7,3
639,23,8,3
640,23,19,3
641,23,20,3
642,23,22,3
643,24,25,1
644,24,27,1
645,24,31,1
646,24,48,1
647,24,62,1
648,24,10,2
649,24,14,2
650,24,84,2
651,24,8,2
652,24,21,2
653,24,22,2
654,24,28,2
655,24,30,2
656,24,54,2
657,24,51,2
658,24,52,2
659,24,49,2
660,24,25,3
661,24,27,3
662,24,31,3
663,24,48,3
664,24,62,3
665,25,10,1
666,25,14,1
667,25,24,1
668,25,27,1
669,25,62,1
670,25,84,1
671,25,8,2
672,25,11,2
673,25,12,2
674,25,13,2
675,25,22,2
676,25,113,2
677,25,31,2
678,25,48,2
679,25,21,2
680,25,28,2
681,25,30,2
682,25,49,2
683,25,51,2
684,25,61,2
685,25,85,2
686,25,86,2
687,25,93,2
688,25,112,2
689,25,10,3
690,25,14,3
691,25,24,3
692,25,27,3
693,25,62,3
694,25,84,3
695,26,17,1
696,26,18,1
697,26,44,1
698,26,202,1
699,26,203,1
700,26,220,1
701,26,0,2
702,26,5,2
703,26,19,2
704,26,20,2
705,26,32,2
706,26,34,2
707,26,36,2
708,26,45,2
709,26,192,2
710,26,193,2
711,26,204,2
712,26,208,2
713,26,221,2
714,26,37,2
715,26,206,2
716,26,218,2
717,26,17,3
718,26,18,3
719,26,44,3
720,26,202,3
721,26,203,3
722,26,220,3
723,27,8,1
724,27,10,1
725,27,21,1
726,27,22,1
727,27,24,1
728,27,25,1
729,27,28,1
730,27,30,1
731,27,31,1
732,27,7,2
733,27,9,2
734,27,11,2
735,27,23,2
736,27,12,2
737,27,13,2
738,27,14,2
739,27,20,2
740,27,33,2
741,27,41,2
742,27,47,2
743,27,48,2
744,27,62,2
745,27,84,2
746,27,29,2
747,27,54,2
748,27,63,2
749,27,8,3
750,27,10,3
751,27,21,3
752,27,22,3
753,27,24,3
754,27,25,3
755,27,28,3
756,27,30,3
757,27,31,3
758,28,21,1
759,28,27,1
760,28,29,1
761,28,30,1
762,28,47,1
763,28,20,2
764,28,22,2
765,28,33,2
766,28,41,2
767,28,8,2
768,28,10,2
769,28,24,2
770,28,25,2
771,28,31,2
772,28,63,2
773,28,64,2
774,28,54,2
775,28,40,2
776,28,43,2
777,28,343,2
778,28,357,2
779,28,21,3
780,28,27,3
781,28,29,3
782,28,30,3
783,28,47,3
784,29,28,1
785,29,30,1
786,29,47,1
787,29,63,1
788,29,64,1
789,29,21,2
790,29,27,2
791,29,31,2
792,29,54,2
793,29,40,2
794,29,41,2
795,29,43,2
796,29,343,2
797,29,357,2
798,29,55,2
799,29,375,2
800,29,28,3
801,29,30,3
802,29,47,3
803,29,63,3
804,29,64,3
805,30,27,1
806,30,28,1
807,30,29,1
808,30,31,1
809,30,54,1
810,30,63,1
811,30,8,2
812,30,10,2
813,30,21,2
814,30,22,2
815,30,24,2
816,30,25,2
817,30,47,2
818,30,64,2
819,30,48,2
820,30,52,2
821,30,53,2
822,30,55,2
823,30,27,3
824,30,28,3
825,30,29,3
826,30,31,3
827,30,54,3
828,30,63,3
829,31,24,1
830,31,27,1
831,31,30,1
832,31,48,1
833,31,54,1
834,31,25,2
835,31,62,2
836,31,8,2
837,31,10,2
838,31,21,2
839,31,22,2
840,31,28,2
841,31,29,2
842,31,63,2
843,31,51,2
844,31,52,2
845,31,53,2
846,31,55,2
847,31,24,3
848,31,27,3
849,31,30,3
850,31,48,3
851,31,54,3
852,32,18,1
853,32,20,1
854,32,33,1
855,32,34,1
856,32,17,2
857,32,19,2
858,32,26,2
859,32,44,2
860,32,21,2
861,32,22,2
862,32,23,2
863,32,40,2
864,32,41,2
865,32,42,2
866,32,46,2
867,32,45,2
868,32,18,3
869,32,20,3
870,32,33,3
871,32,34,3
872,33,20,1
873,33,21,1
874,33,32,1
875,33,34,1
876,33,40,1
877,33,41,1
878,33,42,1
879,33,46,1
880,33,18,2
881,33,19,2
882,33,22,2
883,33,23,2
884,33,27,2
885,33,28,2
886,33,47,2
887,33,44,2
888,33,45,2
889,33,43,2
890,33,38,2
891,33,344,2
892,33,346,2
893,33,347,2
894,33,35,2
895,33,39,2
896,33,20,3
897,33,21,3
898,33,32,3
899,33,34,3
900,33,40,3
901,33,41,3
902,33,42,3
903,33,46,3
904,34,18,1
905,34,32,1
906,34,33,1
907,34,44,1
908,34,45,1
909,34,46,1
910,34,17,2
911,34,19,2
912,34,20,2
913,34,26,2
914,34,21,2
915,34,40,2
916,34,41,2
917,34,42,2
918,34,36,2
919,34,220,2
920,34,35,2
921,34,37,2
922,34,38,2
923,34,39,2
924,34,18,3
925,34,32,3
926,34,33,3
927,34,44,3
928,34,45,3
929,34,46,3
930,35,37,1
931,35,39,1
932,35,45,1
933,35,46,1
934,35,218,1
935,35,285,1
936,35,36,2
937,35,220,2
938,35,38,2
939,35,316,2
940,35,34,2
941,35,44,2
942,35,33,2
943,35,42,2
944,35,206,2
945,35,209,2
946,35,211,2
947,35,219,2
948,35,287,2
949,35,290,2
950,35,300,2
951,35,303,2
952,35,312,2
953,35,37,3
954,35,39,3
955,35,45,3
956,35,46,3
957,35,218,3
958,35,285,3
959,36,37,1
960,36,44,1
961,36,45,1
962,36,220,1
963,36,35,2
964,36,218,2
965,36,18,2
966,36,26,2
967,36,34,2
968,36,46,2
969,36,203,2
970,36,206,2
971,36,221,2
972,36,37,3
973,36,44,3
974,36,45,3
975,36,220,3
976,37,35,1
977,37,36,1
978,37,45,1
979,37,218,1
980,37,220,1
981,37,39,2
982,37,46,2
983,37,285,2
984,37,44,2
985,37,34,2
986,37,206,2
987,37,26,2
988,37,203,2
989,37,221,2
990,37,35,3
991,37,36,3
992,37,45,3
993,37,218,3
994,37,220,3
995,38,39,1
996,38,42,1
997,38,46,1
998,38,315,1
999,38,316,1
1000,38,317,1
1001,38,344,1
1002,38,35,2
1003,38,285,2
1004,38,33,2
1005,38,40,2
1006,38,43,2
1007,38,346,2
1008,38,347,2
1009,38,34,2
1010,38,45,2
1011,38,304,2
1012,38,303,2
1013,38,305,2
1014,38,308,2
1015,38,309,2
1016,38,349,2
1017,38,351,2
1018,38,353,2
1019,38,39,3
1020,38,42,3
1021,38,46,3
1022,38,315,3
1023,38,316,3
1024,38,317,3
1025,38,344,3
1026,39,35,1
1027,39,38,1
1028,39,46,1
1029,39,285,1
1030,39,316,1
1031,39,37,2
1032,39,45,2
1033,39,218,2
1034,39,42,2
1035,39,315,2
1036,39,317,2
1037,39,344,2
1038,39,33,2
1039,39,34,2
1040,39,206,2
1041,39,209,2
1042,39,211,2
1043,39,219,2
1044,39,287,2
1045,39,290,2
1046,39,300,2
1047,39,303,2
1048,39,312,2
1049,39,304,2
1050,39,305,2
1051,39,35,3
1052,39,38,3
1053,39,46,3
1054,39,285,3
1055,39,316,3
1056,40,33,1
1057,40,41,1
1058,40,42,1
1059,40,43,1
1060,40,47,1
1061,40,20,2
1062,40,21,2
1063,40,32,2
1064,40,34,2
1065,40,46,2
1066,40,38,2
1067,40,344,2
1068,40,346,2
1069,40,347,2
1070,40,343,2
1071,40,28,2
1072,40,29,2
1073,40,64,2
1074,40,357,2
1075,40,33,3
1076,40,41,3
1077,40,42,3
1078,40,43,3
1079,40,47,3
1080,41,21,1
1081,41,33,1
1082,41,40,1
1083,41,47,1
1084,41,20,2
1085,41,22,2
1086,41,27,2
1087,41,28,2
1088,41,32,2
1089,41,34,2
1090,41,42,2
1091,41,46,2
1092,41,43,2
1093,41,29,2
1094,41,64,2
1095,41,343,2
1096,41,357,2
1097,41,21,3
1098,41,33,3
1099,41,40,3
1100,41,47,3
1101,42,33,1
1102,42,38,1
1103,42,40,1
1104,42,43,1
1105,42,46,1
1106,42,344,1
1107,42,346,1
1108,42,347,1
1109,42,20,2
1110,42,21,2
1111,42,32,2
1112,42,34,2
1113,42,41,2
1114,42,39,2
1115,42,315,2
1116,42,316,2
1117,42,317,2
1118,42,47,2
1119,42,343,2
1120,42,35,2
1121,42,45,2
1122,42,348,2
1123,42,349,2
1124,42,345,2
1125,42,33,3
1126,42,38,3
1127,42,40,3
1128,42,43,3
1129,42,46,3
1130,42,344,3
1131,42,346,3
1132,42,347,3
1133,43,40,1
1134,43,42,1
1135,43,47,1
1136,43,343,1
1137,43,347,1
1138,43,33,2
1139,43,41,2
1140,43,38,2
1141,43,46,2
1142,43,344,2
1143,43,346,2
1144,43,21,2
1145,43,28,2
1146,43,29,2
1147,43,64,2
1148,43,357,2
1149,43,345,2
1150,43,358,2
1151,43,348,2
1152,43,40,3
1153,43,42,3
1154,43,47,3
1155,43,343,3
1156,43,347,3
1157,44,18,1
1158,44,26,1
1159,44,34,1
1160,44,36,1
1161,44,45,1
1162,44,220,1
1163,44,17,2
1164,44,19,2
1165,44,20,2
1166,44,32,2
1167,44,202,2
1168,44,203,2
1169,44,33,2
1170,44,46,2
1171,44,37,2
1172,44,35,2
1173,44,206,2
1174,44,218,2
1175,44,221,2
1176,44,18,3
1177,44,26,3
1178,44,34,3
1179,44,36,3
1180,44,45,3
1181,44,220,3
1182,45,34,1
1183,45,35,1
1184,45,36,1
1185,45,37,1
1186,45,44,1
1187,45,46,1
1188,45,18,2
1189,45,32,2
1190,45,33,2
1191,45,39,2
1192,45,218,2
1193,45,285,2
1194,45,220,2
1195,45,26,2
1196,45,38,2
1197,45,42,2
1198,45,34,3
1199,45,35,3
1200,45,36,3
1201,45,37,3
1202,45,44,3
1203,45,46,3
1204,46,33,1
1205,46,34,1
1206,46,35,1
1207,46,38,1
1208,46,39,1
1209,46,42,1
1210,46,45,1
1211,46,20,2
1212,46,21,2
1213,46,32,2
1214,46,40,2
1215,46,41,2
1216,46,18,2
1217,46,44,2
1218,46,37,2
1219,46,218,2
1220,46,285,2
1221,46,315,2
1222,46,316,2
1223,46,317,2
1224,46,344,2
1225,46,43,2
1226,46,346,2
1227,46,347,2
1228,46,36,2
1229,46,33,3
1230,46,34,3
1231,46,35,3
1232,46,38,3
1233,46,39,3
1234,46,42,3
1235,46,45,3
1236,47,21,1
1237,47,28,1
1238,47,29,1
1239,47,40,1
1240,47,41,1
1241,47,43,1
1242,47,64,1
1243,47,343,1
1244,47,357,1
1245,47,20,2
1246,47,22,2
1247,47,27,2
1248,47,33,2
1249,47,30,2
1250,47,63,2
1251,47,42,2
1252,47,347,2
1253,47,55,2
1254,47,375,2
1255,47,345,2
1256,47,358,2
1257,47,359,2
1258,47,21,3
1259,47,28,3
1260,47,29,3
1261,47,40,3
1262,47,41,3
1263,47,43,3
1264,47,64,3
1265,47,343,3
1266,47,357,3
1267,48,24,1
1268,48,31,1
1269,48,51,1
1270,48,52,1
1271,48,54,1
1272,48,62,1
1273,48,25,2
1274,48,27,2
1275,48,30,2
1276,48,49,2
1277,48,50,2
1278,48,53,2
1279,48,55,2
1280,48,63,2
1281,48,14,2
1282,48,84,2
1283,48,24,3
1284,48,31,3
1285,48,51,3
1286,48,52,3
1287,48,54,3
1288,48,62,3
1289,49,50,1
1290,49,51,1
1291,49,61,1
1292,49,62,1
1293,49,84,1
1294,49,93,1
1295,49,53,2
1296,49,57,2
1297,49,48,2
1298,49,52,2
1299,49,60,2
1300,49,66,2
1301,49,67,2
1302,49,88,2
1303,49,89,2
1304,49,14,2
1305,49,24,2
1306,49,25,2
1307,49,85,2
1308,49,86,2
1309,49,112,2
1310,49,113,2
1311,49,87,2
1312,49,50,3
1313,49,51,3
1314,49,61,3
1315,49,62,3
1316,49,84,3
1317,49,93,3
1318,50,49,1
1319,50,51,1
1320,50,53,1
1321,50,57,1
1322,50,61,1
1323,50,62,2
1324,50,84,2
1325,50,93,2
1326,50,48,2
1327,50,52,2
1328,50,54,2
1329,50,55,2
1330,50,56,2
1331,50,59,2
1332,50,60,2
1333,50,66,2
1334,50,67,2
1335,50,88,2
1336,50,89,2
1337,50,49,3
1338,50,51,3
1339,50,53,3
1340,50,57,3
1341,50,61,3
1342,51,48,1
1343,51,49,1
1344,51,50,1
1345,51,52,1
1346,51,53,1
1347,51,62,1
1348,51,24,2
1349,51,31,2
